,RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022
329,394661,329,"Hammond, LA",Msa,LA,167604.0,167548.0,167616.0,167340.0,166725.0,166436.0,166365.0,167502.0,168074.0,168820.0,168613.0,168604.0,168299.0,168698.0,169790.0,171407.0,173231.0,174546.0,176623.0,179201.0,181356.0,183979.0,186129.0,189124.0,192624.0,196431.0,200163.0,203087
330,394728,330,"Jonesboro, AR",Msa,AR,134945.0,135630.0,135944.0,136475.0,136874.0,137722.0,138231.0,138746.0,139108.0,139867.0,140725.0,141644.0,142513.0,143445.0,144598.0,145785.0,147010.0,148673.0,150710.0,,156769.0,159683.0,161884.0,165119.0,168056.0,171671.0,173852.0,176732
331,395094,331,"Sherman, TX",Msa,TX,180777.0,182202.0,183898.0,184735.0,185015.0,185093.0,185408.0,186885.0,189297.0,192424.0,195160.0,196872.0,198620.0,200342.0,202754.0,206062.0,209336.0,213260.0,217360.0,223110.0,229083.0,234593.0,239201.0,244383.0,250100.0,256360.0,263002.0,270423
332,394333,332,"Anniston, AL",Msa,AL,105762.0,105995.0,106704.0,106905.0,107430.0,107589.0,107796.0,107750.0,108298.0,108722.0,,112350.0,114745.0,116878.0,120098.0,122548.0,123661.0,125062.0,127091.0,129118.0,130899.0,132318.0,133525.0,134955.0,136909.0,139817.0,142766.0,144734
333,395128,333,"Staunton, VA",Msa,VA,204122.0,204518.0,205064.0,205603.0,206596.0,207413.0,208396.0,209062.0,209764.0,210274.0,211511.0,212986.0,216569.0,219903.0,223513.0,225735.0,227904.0,230079.0,231923.0,234096.0,237444.0,238893.0,239859.0,241642.0,245135.0,248738.0,250105.0,251468
334,394893,334,"Muncie, IN",Msa,IN,95206.0,95370.0,95698.0,96345.0,97080.0,97785.0,98561.0,99733.0,100994.0,102261.0,103169.0,104157.0,104929.0,105703.0,106458.0,107634.0,109460.0,111981.0,114883.0,117766.0,120055.0,122095.0,124004.0,125706.0,127503.0,129411.0,132239.0,134409
335,394890,335,"Mount Vernon, WA",Msa,WA,392251.0,394244.0,395277.0,396944.0,397826.0,400929.0,404042.0,409351.0,413889.0,420294.0,427501.0,434265.0,440471.0,450123.0,459893.0,470373.0,475549.0,483741.0,493363.0,507530.0,518775.0,531057.0,542806.0,556175.0,567578.0,577422.0,581053.0,584316
336,394307,336,"Albany, OR",Msa,OR,283567.0,284817.0,287231.0,288801.0,291165.0,292359.0,294148.0,296056.0,298626.0,301722.0,305763.0,310888.0,315871.0,320393.0,324492.0,328907.0,333838.0,340533.0,346822.0,354896.0,360752.0,367906.0,373218.0,379601.0,385054.0,391367.0,397226.0,403621
337,395213,337,"Watertown, NY",Msa,NY,143633.0,145500.0,145183.0,145113.0,144908.0,145391.0,145932.0,146640.0,147141.0,147911.0,149317.0,150569.0,151732.0,152927.0,154847.0,155970.0,157546.0,158936.0,161295.0,162775.0,163909.0,164739.0,165979.0,167071.0,168086.0,169495.0,171526.0,174612
338,395225,338,"Williamsport, PA",Msa,PA,170097.0,170748.0,171308.0,171834.0,172420.0,173047.0,173693.0,173716.0,173126.0,170583.0,169181.0,170749.0,172933.0,175267.0,175440.0,176933.0,178175.0,179984.0,181952.0,184233.0,186448.0,189440.0,191760.0,193743.0,195282.0,197246.0,198671.0,200671
